scenario,step,action,reward,snr_rf,snr_fso,snr_thz,best_channel
clear,0,1,3.9985445234717307,16.48400957067656,62.81763181373849,44.00280271955808,1
clear,1,1,3.9995977194083476,8.740235806626842,56.79269199486583,37.969202806278474,1
clear,2,1,3.999809536838182,3.9865839032401853,53.266684115663246,34.43437762516484,1
clear,3,1,3.999887683585227,1.607531336597229,50.7638250412256,31.92260289299884,1
clear,4,1,3.9999253255368408,2.9788326966704384,48.82161176321524,29.97140263283771,1
clear,5,1,3.999946448043066,-0.5278836891047165,47.23402958800114,28.374777711885216,1
clear,6,1,3.9999595406502833,-3.4519072806007505,45.891182202616434,27.02284191927296,1
clear,7,1,3.999968245583074,-2.555515392694794,44.727470254783235,25.850002979719218,1
clear,8,1,3.9999743431598285,-4.73944802152591,43.70058015500618,24.813952530771584,1
clear,9,1,3.9999787901490658,-4.212749714801875,42.78162003615053,23.885802719558082,1
clear,10,1,3.999982139259594,-6.941514507651192,41.94998219172517,23.044949016393588,1
clear,11,1,3.999984728507888,-8.840970189049566,41.19045042436238,22.276177798605588,1
clear,12,1,3.9999867743774895,-7.303059624398874,40.4914692137197,21.567935673421363,1
clear,13,1,3.994790292187913,-11.373782144151772,39.844056138327836,20.911242005993333,1
clear,14,1,3.9746927810577537,-10.031260928010557,39.24109041948688,20.298977538444475,1
clear,15,1,3.955885267531393,-12.127731358982068,38.67683154317541,19.725403066439597,1
clear,16,1,3.9382112875676087,-6.540492302685942,38.146584072160636,19.185824291992617,1
clear,17,1,3.921541225222258,-10.790911286142517,37.64645840910954,18.676352617491972,1
clear,18,1,3.9057665009814286,-9.182134799409011,37.17319632749208,18.193730700501504,1
clear,19,1,3.8907952521959475,-13.98411394356426,36.724041305339256,17.73520280627845,1
clear,20,1,3.8765490682876527,-9.329355872786245,36.29664052742015,17.298416824879705,1
clear,21,1,3.862960485999131,-10.285642210562962,35.88896970516828,16.881349103113976,1
clear,22,1,3.849971041776625,-14.821626890880815,35.499274621551905,16.482245999206224,1
clear,23,1,3.837529738891692,-14.399167316623682,35.12602512554673,16.099577885325953,1
clear,24,1,3.8255918276369787,-12.668860478431476,34.767878523981146,15.732002546117325,1
clear,25,1,3.814117824868003,-14.677556987188058,34.42365015738507,15.37833576014175,1
clear,26,1,3.8030727186565016,-10.091895479876847,34.092289531775435,15.037527436378344,1
clear,27,1,3.7924253176379503,-13.339589545811243,33.77286079314306,14.708642092713704,1
clear,28,1,3.782147714570894,-13.109014052833228,33.464526629671106,14.39084276157895,1
clear,29,1,3.7722148408641347,-16.343445871368125,33.16653490401231,14.083377625164859,1
clear,30,1,3.7626040941661696,-17.02146888301069,32.878207478201816,13.785568842872653,1
clear,31,1,3.7532950250928363,-18.543552044852433,32.59893081329926,13.496803153159975,1
clear,32,1,3.7442690721698964,-13.327015019394963,32.328148015925215,13.216523922000345,1
clear,33,1,3.7355093363510763,-17.35227685533623,32.06535207240643,12.944224378712974,1
clear,34,1,3.7270003882258704,-18.394608614377898,31.810080063882538,12.67944183255257,1
clear,35,1,3.7187281023898566,-15.969694036232696,31.561908196499466,12.421752704212352,1
clear,36,1,3.710679514510776,-14.95099613144074,31.320447512642318,12.170768238218201,1
clear,37,1,3.702842697457734,-18.63622247130383,31.08534017419518,11.926130787221876,1
clear,38,1,3.6952066535216943,-17.300489681785795,30.856256228646075,11.687510579028118,1
clear,39,1,3.687761220282222,-18.82652534048939,30.63289078466554,11.454602892998835,1
clear,40,1,3.6804969880982394,-20.853501204780933,30.414961536475094,11.227125585163389,1
clear,41,1,3.6734052275417373,-19.0155144512654,30.20220658656143,11.004816911600086,1
clear,42,1,3.6664778253703654,-19.12746406341265,29.99438252460355,10.787433607966344,1
clear,43,1,3.6597072278608396,-18.698493494089128,29.79126272726286,10.574749189834352,1
clear,44,1,3.653086390510466,-13.419314501190662,29.592635849048516,10.366552444051207,1
clear,45,1,3.6466087332668415,-20.72405912520086,29.398304479054687,10.162646085926594,1
clear,46,1,3.640268100572288,-20.586575410259975,29.208083942161647,9.962845560843743,1
clear,47,1,3.6340587256146972,-20.114975525416767,29.021801226448112,9.766977972046343,1
clear,48,1,3.62797519826434,-18.669974266195233,28.83929402119768,9.574881118987813,1
clear,49,1,3.6220124362497543,-18.71684506600893,28.660409852091195,9.386402632837683,1
clear,50,1,3.6161656591878275,-20.766843324535635,28.485005302035855,9.201399197599347,1
clear,51,1,3.6104303651354823,-21.498380893210953,28.312945307652093,9.01973584686213,1
clear,52,1,3.6048023093747434,-22.365559559164545,28.14410252276992,8.841285327542305,1
clear,53,1,3.599277485180676,-20.882636546964815,27.978356741418455,8.665927523098718,1
clear,54,1,3.5938521063538884,-21.67650634303321,27.815594373758277,8.49354892967322,1
